# Created by WEAP: 5/10/2021 8:49:26 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Cabin (3,496 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 3000 - 4000 m (3,430 ha),  4000 - 5000 m (66 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -6.737, -8.225, 39.96, 49.04
2006, 2, -7.695, -8.673, 75.75, 86.33
2006, 3, -3.66, -4.757, 70.61, 73.75
2006, 4, -3.213, -4.026, 103.3, 105.3
2006, 5, 5.563, 4.662, 139.7, 132.6
2006, 6, 8.916, 8.04, 68.43, 67.22
2006, 7, 13.43, 12.42, 74.23, 69.11
2006, 8, 12.14, 11.09, 46.44, 47.5
2006, 9, 7.266, 6.226, 15.79, 16.04
2006, 10, 4.278, 3.141, 38.08, 38.52
2006, 11, -3.691, -4.92, 86.76, 84.67
2006, 12, -6.102, -7.843, 50.06, 56.78
2007, 1, -9.805, -11.28, 50.46, 60.23
2007, 2, -7.751, -9.044, 42.43, 48.24
2007, 3, -7.862, -9.203, 19.22, 22.53
2007, 4, -1.235, -2.431, 79.65, 81.64
2007, 5, 7.128, 6.002, 15.01, 17.94
2007, 6, 9.929, 8.724, 66.37, 64.11
2007, 7, 12.06, 11.15, 84.64, 83.33
2007, 8, 12.74, 11.53, 68.56, 65.52
2007, 9, 4.623, 3.414, 44.86, 46.53
2007, 10, 1.105, 0.1081, 37.61, 40.67
2007, 11, -4.977, -6.038, 46.29, 54.45
2007, 12, -9.552, -11.05, 72.66, 79.77
2008, 1, -7.951, -9.525, 68.72, 74.99
2008, 2, -9.684, -10.98, 15.63, 18.14
2008, 3, -11.77, -13, 51.14, 56.33
2008, 4, -2.061, -3.059, 90.76, 90.85
2008, 5, 5.638, 4.73, 34.54, 33.05
2008, 6, 11.43, 10.18, 40.94, 48.76
2008, 7, 15.02, 13.82, 33.06, 32.51
2008, 8, 13.39, 12.23, 50.14, 50.35
2008, 9, 9.153, 8.023, 21.02, 19.94
2008, 10, 3.404, 2.233, 59.02, 57.16
2008, 11, -4.742, -5.946, 93.57, 97.04
2008, 12, -5.732, -7.131, 18.17, 21.22
2009, 1, -10.12, -11.44, 73.53, 77.65
2009, 2, -10.98, -12.35, 30.33, 36.11
2009, 3, -10.47, -11.55, 31.68, 39.54
2009, 4, -4.975, -6.167, 75.84, 76.27
2009, 5, 4.822, 4.019, 72.2, 65.02
2009, 6, 9.784, 8.606, 49.24, 48.59
2009, 7, 13.37, 12.25, 54.69, 52.71
2009, 8, 13.37, 12.2, 45.7, 43.26
2009, 9, 11.48, 10.4, 15.74, 15.24
2009, 10, 4.057, 2.867, 19.72, 19.84
2009, 11, -1.089, -2.368, 58.25, 54.79
2009, 12, -3.424, -4.653, 63.64, 61.21
2010, 1, -11.19, -12.61, 52.65, 62.78
2010, 2, -10.74, -12.16, 15.03, 17.58
2010, 3, -7.77, -8.916, 41.48, 45.4
2010, 4, 2.248, 1.206, 73.95, 71.36
2010, 5, 3.853, 2.9, 57.59, 60.34
2010, 6, 9.941, 8.867, 44.05, 46.83
2010, 7, 14.58, 13.4, 35.53, 42.44
2010, 8, 13.91, 12.73, 28.99, 27.7
2010, 9, 11.39, 10.36, 37.29, 43.24
2010, 10, 1.831, 0.687, 87.66, 75.74
2010, 11, -1.341, -2.804, 61.75, 62.5
2010, 12, -4.349, -5.82, 18.57, 21.62
2011, 1, -11.03, -12.48, 45.78, 57.63
2011, 2, -7.831, -9.484, 33.41, 44.44
2011, 3, -5.295, -6.349, 58.1, 61.99
2011, 4, 3.941, 2.814, 39.06, 36.34
2011, 5, 6.061, 4.965, 112.1, 123.1
2011, 6, 12.22, 11.18, 21.73, 22.92
2011, 7, 14.78, 13.65, 24.86, 26.5
2011, 8, 13, 11.99, 58.18, 57.67
2011, 9, 8.435, 7.473, 54.61, 56.54
2011, 10, 2.531, 1.333, 39.28, 43.03
2011, 11, -4.849, -6.089, 30.49, 32.01
2011, 12, -8.525, -10.01, 69.18, 81.59
2012, 1, -7.686, -9.231, 120, 155.1
2012, 2, -6.332, -7.503, 24.9, 31.75
2012, 3, -3.722, -4.66, 108.2, 119
2012, 4, 2.629, 1.574, 118.8, 115.5
2012, 5, 7.045, 6.115, 131.7, 138.6
2012, 6, 11.13, 10.02, 11.6, 13.7
2012, 7, 12.34, 11.23, 77.82, 66.87
2012, 8, 13.16, 12.06, 76.6, 75.21
2012, 9, 8.908, 7.885, 58.06, 57.16
2012, 10, 2.23, 0.8563, 60.31, 58.54
2012, 11, -4.102, -5.123, 92.76, 105.9
2012, 12, -10.12, -11.69, 29.38, 37
2013, 1, -8.572, -9.93, 46.93, 57.9
2013, 2, -9.185, -10.47, 48.78, 51.55
2013, 3, -7.892, -8.871, 69.94, 72.43
2013, 4, -5.883, -6.875, 153, 145.6
2013, 5, 4.862, 3.838, 37.93, 44.58
2013, 6, 10.18, 9.07, 25.76, 29.17
2013, 7, 13.83, 12.76, 74.76, 76.82
2013, 8, 13.56, 12.25, 43.24, 48.38
2013, 9, 10.84, 9.737, 74.85, 62.72
2013, 10, 5.765, 4.318, 8.536, 10.82
2013, 11, -1.489, -2.813, 59.75, 49.67
2013, 12, -3.943, -5.434, 24.86, 29.78
2014, 1, -8.456, -10.11, 25.74, 28.59
2014, 2, -5.347, -6.667, 13.46, 17.33
2014, 3, -8.29, -9.408, 69.49, 73.65
2014, 4, 0.173, -0.8532, 19.17, 21.36
2014, 5, 6.405, 5.487, 81.08, 81.32
2014, 6, 11.63, 10.46, 49.54, 48
2014, 7, 13.48, 12.38, 51.17, 52.69
2014, 8, 13.12, 11.99, 36.1, 34.85
2014, 9, 9.712, 8.625, 13.73, 15.17
2014, 10, 6.095, 4.754, 6.079, 5.557
2014, 11, -1.127, -2.556, 45.14, 50.34
2014, 12, -7.703, -9.275, 49.61, 49.23
2015, 1, -7.972, -9.707, 55.36, 56.58
2015, 2, -5.774, -7.067, 30.72, 36.99
2015, 3, -0.9175, -2.132, 34.62, 34.62
2015, 4, 1.51, 0.4398, 87.37, 65.24
2015, 5, 9.194, 8.209, 12.33, 11.59
2015, 6, 13.28, 12.07, 19.88, 20.34
2015, 7, 16.41, 15.23, 39.63, 38.43
2015, 8, 10.44, 9.537, 145, 147
2015, 9, 8.713, 7.642, 30.26, 27.66
2015, 10, 0.436, -0.7613, 56.41, 53.41
2015, 11, -4.142, -5.291, 45.48, 47.87
2015, 12, -7.446, -9.013, 43.99, 47.06
2016, 1, -10.34, -12.01, 59.3, 68.69
2016, 2, -7.999, -9.401, 45, 53.21
2016, 3, -3.39, -4.344, 42.67, 49.37
2016, 4, -1.876, -2.811, 86.41, 87.8
2016, 5, 6.129, 5.055, 28.07, 26.03
2016, 6, 10.21, 8.91, 21.73, 23.21
2016, 7, 14.07, 13.06, 61.76, 62.08
2016, 8, 13.57, 12.34, 34.92, 37.63
2016, 9, 8.865, 7.661, 39.89, 37.25
2016, 10, 4.337, 3.259, 35.25, 37.68
2016, 11, -4.998, -6.165, 122.4, 109.3
2016, 12, -7.711, -9.335, 33.47, 39.85
2017, 1, -4.347, -5.995, 65.31, 78.22
2017, 2, -7.689, -9.105, 15.41, 19.94
2017, 3, -6.817, -7.665, 146.2, 142.8
2017, 4, 1.166, -0.03036, 104.1, 100.3
2017, 5, 8.106, 7.134, 35.74, 36.31
2017, 6, 12.47, 11.15, 34.05, 31.22
2017, 7, 13.63, 12.54, 72.51, 65.3
2017, 8, 14.74, 13.55, 27.11, 27.66
2017, 9, 8.886, 7.817, 58.91, 58.7
2017, 10, 5.678, 4.413, 36.63, 37.64
2017, 11, -3.842, -5.006, 52.53, 60.36
2017, 12, -7.281, -8.794, 34.93, 39.48
2018, 1, -5.285, -6.88, 47.04, 52.27
2018, 2, -3.201, -4.432, 27.78, 30.69
2018, 3, -6.166, -7.031, 83.73, 88.12
2018, 4, 0.3566, -0.4318, 185.5, 191.7
2018, 5, 4.084, 3.273, 244.3, 223.6
2018, 6, 12.89, 11.76, 16.19, 20.24
2018, 7, 12.06, 11.08, 37.1, 34.71
2018, 8, 14.66, 13.43, 41.34, 41.04
2018, 9, 8.883, 7.71, 49.59, 49.27
2018, 10, 4.802, 3.729, 49.1, 48.12
2018, 11, 2.58, 1.246, 39.92, 35.71
2018, 12, -6.702, -7.969, 19.7, 22.24
2019, 1, -7.18, -9.085, 48.23, 52.71
2019, 2, -4.527, -5.955, 39.85, 44.93
2019, 3, -2.889, -3.806, 79.42, 86.18
2019, 4, 0.9735, 0.1159, 88.14, 94.34
2019, 5, 4.222, 3.303, 58.58, 65.89
2019, 6, 12.48, 11.39, 20.14, 23.22
2019, 7, 13.85, 12.9, 75.86, 71.93
2019, 8, 13.47, 12.41, 75.73, 68.9
2019, 9, 7.338, 6.146, 35.43, 39.83
2019, 10, 2.38, 1.283, 25.16, 26.47
2019, 11, -5.111, -6.407, 49.94, 51.28
2019, 12, -7.22, -8.834, 44.2, 47.86
2020, 1, -7.102, -9.13, 65.32, 69.64
2020, 2, -5.453, -6.811, 67.17, 75.68
2020, 3, -5.507, -6.797, 36.09, 41.82
2020, 4, 0.4796, -0.69, 38.95, 39.35
2020, 5, 7.671, 6.612, 26.4, 22.59
2020, 6, 11.59, 10.6, 29.71, 28.98
2020, 7, 13.98, 12.95, 51.88, 48.52
2020, 8, 15.2, 14.07, 29.46, 30.98
2020, 9, 7.61, 6.412, 108.5, 99.94
2020, 10, 3.677, 2.411, 18.41, 20.13
2020, 11, -6.231, -7.633, 27.97, 33.52
2020, 12, -3.668, -5.292, 16.21, 18.62
2021, 1, -4.648, -6.424, 38.67, 48.54
2021, 2, -5.512, -6.657, 24.21, 33.26
2021, 3, -1.142, -2.246, 17.77, 19.64
2021, 4, 1.205, 0.09033, 86.18, 80.32
2021, 5, 8.864, 7.884, 27.8, 27.12
2021, 6, 10.35, 9.21, 30.07, 31.42
2021, 7, 15.07, 13.93, 36.56, 38.49
2021, 8, 12.83, 11.79, 43.37, 53.39
2021, 9, 9.509, 8.312, 18.56, 17.55
2021, 10, 2.411, 1.107, 18.16, 17.49
2021, 11, -0.2633, -1.507, 56.59, 61.93
2021, 12, -5.156, -6.836, 72.44, 83.92
2022, 1, -7.163, -8.78, 37.51, 44.18
2022, 2, -5.534, -6.681, 40.11, 44.66
2022, 3, -1.339, -2.377, 57.94, 68.4
2022, 4, 2.827, 1.73, 49.62, 61.26
2022, 5, 5.519, 4.484, 167.1, 160.1
2022, 6, 9.45, 8.453, 41.54, 42.46
2022, 7, 11.91, 10.9, 82.77, 73.78
2022, 8, 13.8, 12.62, 39.69, 40.73
2022, 9, 9.648, 8.527, 81, 80.45
2022, 10, 4.926, 3.621, 11.95, 13.1
2022, 11, -3.982, -5.339, 74.74, 81.98
2022, 12, -9.046, -10.48, 61.74, 74.71
2023, 1, -7.871, -9.721, 60.68, 72.89
2023, 2, -11.42, -12.75, 47.64, 56.34
2023, 3, -6.825, -8.222, 12.91, 16.11
2023, 4, -2.941, -4.215, 16.7, 21.91
2023, 5, 6.064, 5.209, 99.83, 99.96
2023, 6, 12.28, 11.16, 22.81, 21.95
2023, 7, 15.32, 14.35, 49.1, 55.3
2023, 8, 13.43, 12.5, 86.23, 93.45
2023, 9, 6.104, 5.338, 52.55, 54.83
2023, 10, 3.783, 2.505, 35.33, 38.68
2023, 11, -0.9953, -2.304, 39.89, 49.8
2023, 12, -4.376, -5.869, 43.18, 52.92
2024, 1, -9.195, -10.78, 61.45, 68.91
2024, 2, -7.169, -8.189, 40.31, 52.23
2024, 3, -2.959, -4.2, 43.44, 45.98
2024, 4, 3.991, 2.806, 28.02, 29.49
2024, 5, 6.743, 5.692, 34.33, 33.18
2024, 6, 12.37, 11.08, 12.29, 14.3
2024, 7, 13.75, 12.49, 72.08, 73.17
2024, 8, 12.82, 11.66, 125.1, 126.5
2024, 9, 7.87, 6.781, 46.68, 40.71
2024, 10, 3.259, 2.224, 30.4, 31.17
2024, 11, -1.107, -2.47, 51.19, 55.71
2024, 12, -8.26, -9.815, 51.6, 57.58
2025, 1, -4.116, -5.756, 19.47, 23.99
2025, 2, -5.395, -6.627, 31.16, 39.97
2025, 3, -8.118, -8.952, 99.82, 105
2025, 4, 3.34, 2.171, 48.45, 47.35
2025, 5, 8.271, 7.223, 73.31, 74.12
2025, 6, 9.296, 8.165, 37.45, 37.92
2025, 7, 14.91, 13.86, 49.3, 46.43
2025, 8, 13.71, 12.45, 40.89, 42.21
2025, 9, 11.58, 10.55, 35.15, 32.57
2025, 10, 1.615, 0.6707, 68.43, 70.26
2025, 11, -4.023, -5.239, 92.6, 102.5
2025, 12, -5.329, -6.702, 36.69, 44.01
2026, 1, -3.595, -5.029, 60.35, 63.04
2026, 2, -5.002, -6.077, 62.32, 67.93
2026, 3, -4.961, -5.709, 93.83, 109.3
2026, 4, -0.7184, -1.384, 151, 153.4
2026, 5, 5.489, 4.779, 171, 154
2026, 6, 12.02, 10.79, 31.14, 29.81
2026, 7, 12.87, 11.85, 63.84, 67.1
2026, 8, 13.5, 12.45, 106.8, 98.05
2026, 9, 7.581, 6.633, 79.07, 73.27
2026, 10, 0.5799, -0.7468, 82.39, 71.84
2026, 11, -6.264, -7.551, 62.33, 69.51
2026, 12, -6.317, -7.934, 34.66, 33.22
2027, 1, -5.183, -6.656, 52.11, 56.23
2027, 2, -6.24, -7.505, 40.88, 50.14
2027, 3, -2.409, -3.392, 86.24, 86.55
2027, 4, -2.709, -3.683, 111.5, 108.4
2027, 5, 4.635, 3.76, 134.4, 126.4
2027, 6, 11.52, 10.32, 14.34, 19.26
2027, 7, 13.33, 12.21, 82.43, 77.02
2027, 8, 13.96, 12.77, 34.6, 35.97
2027, 9, 9.304, 8.053, 28.84, 29.14
2027, 10, 5.371, 4.149, 1.847, 1.835
2027, 11, -1.682, -2.977, 66.19, 73.13
2027, 12, -4.855, -6.286, 30.5, 34.71
2028, 1, -2.912, -4.798, 6.808, 6.559
2028, 2, -6.203, -7.388, 51.91, 55.36
2028, 3, -4.547, -5.452, 59.87, 63.13
2028, 4, 1.159, 0.07798, 62.44, 64.6
2028, 5, 10.41, 9.257, 38.34, 39.7
2028, 6, 12.45, 11.22, 38.69, 38.13
2028, 7, 14.46, 13.52, 59.16, 62.24
2028, 8, 13.48, 12.4, 124.5, 126.5
2028, 9, 7.613, 6.375, 13.67, 14.15
2028, 10, 4.078, 2.888, 44.47, 46.52
2028, 11, -0.01687, -1.476, 29.65, 30.82
2028, 12, -6.801, -8.307, 53.12, 63.16
2029, 1, -7.487, -9.347, 77.91, 88.47
2029, 2, -2.919, -4.125, 38.58, 42.63
2029, 3, -4.969, -6.049, 69.89, 77.83
2029, 4, 2.374, 1.323, 88.47, 90.48
2029, 5, 5.864, 4.953, 213.5, 202
2029, 6, 9.222, 8.162, 49.69, 51.89
2029, 7, 12.54, 11.5, 95.75, 92.63
2029, 8, 13.3, 12.17, 67.37, 68.99
2029, 9, 10.11, 9.076, 40.05, 46.64
2029, 10, 0.5056, -0.8941, 34, 35.22
2029, 11, -1.052, -2.334, 20.31, 24.48
2029, 12, -0.7745, -2.296, 34.16, 44.16
2030, 1, -7.08, -8.211, 75.39, 85.48
2030, 2, -5.664, -6.829, 48.86, 57.39
2030, 3, -6.462, -7.581, 56.28, 63.67
2030, 4, -3.672, -4.87, 77.97, 80.98
2030, 5, 3.466, 2.474, 82.94, 90.71
2030, 6, 12.32, 11.2, 35.34, 35.17
2030, 7, 12.51, 11.33, 120.3, 112.9
2030, 8, 12.7, 11.54, 73.54, 68.07
2030, 9, 7.751, 6.814, 97.17, 94.79
2030, 10, 2.857, 1.754, 48.96, 45.5
2030, 11, -2.696, -3.932, 64.57, 72.07
2030, 12, -5.096, -6.631, 32.3, 38.53
2031, 1, -7.289, -9.123, 54.94, 67.99
2031, 2, -2.724, -3.922, 28.36, 40.14
2031, 3, -6.722, -7.477, 107.6, 120.3
2031, 4, 1.058, -0.05759, 55, 57.84
2031, 5, 6.81, 5.811, 32.49, 31.55
2031, 6, 13.68, 12.44, 25.78, 21.88
2031, 7, 14.67, 13.6, 64.35, 60.81
2031, 8, 13.06, 11.94, 99.17, 98.58
2031, 9, 9.872, 8.774, 69.14, 64.83
2031, 10, 3.023, 1.899, 78.03, 70.36
2031, 11, -2.38, -3.736, 77.65, 73.07
2031, 12, -7.128, -8.652, 42.8, 47.01
2032, 1, -4.126, -5.753, 48.73, 62.01
2032, 2, -7.569, -8.655, 71.05, 78.59
2032, 3, -4.748, -5.703, 29.68, 36.79
2032, 4, -2.186, -3.352, 119.4, 105.5
2032, 5, 7.138, 6.278, 64.02, 65.83
2032, 6, 13.56, 12.41, 10.44, 12.35
2032, 7, 15.68, 14.67, 41.15, 47.84
2032, 8, 14.46, 13.16, 38.17, 37.11
2032, 9, 9.953, 8.946, 120.7, 117.4
2032, 10, 3.245, 2.127, 60.36, 57.58
2032, 11, -0.3956, -1.673, 39.69, 39.72
2032, 12, -8.723, -10.24, 44.44, 50.52
2033, 1, -6.898, -8.538, 53.08, 64.76
2033, 2, -7.598, -8.764, 56.85, 63.78
2033, 3, -6.392, -7.413, 184.5, 187.5
2033, 4, -0.04664, -1.084, 68.14, 69.78
2033, 5, 4.492, 3.691, 185.9, 179.3
2033, 6, 10.81, 9.655, 39.22, 38.92
2033, 7, 13.45, 12.33, 60.17, 52.02
2033, 8, 13.44, 12.33, 92.11, 93.94
2033, 9, 12.02, 11.12, 66.18, 56.7
2033, 10, 5.452, 4.168, 13.22, 13.32
2033, 11, -1.757, -3.13, 82.76, 75.25
2033, 12, -10.38, -11.97, 38.86, 44.52
2034, 1, -6.315, -7.995, 13.21, 18.38
2034, 2, -6.881, -8.421, 10.91, 14.33
2034, 3, -7.64, -8.831, 30.19, 35.46
2034, 4, 3.581, 2.495, 35.14, 38.06
2034, 5, 7.088, 6.103, 48.65, 44.79
2034, 6, 12.85, 11.65, 18.41, 19.86
2034, 7, 17.29, 16.1, 30.4, 31.21
2034, 8, 16.41, 15.29, 69.35, 75.9
2034, 9, 9.829, 8.727, 118.4, 98.07
2034, 10, 6.845, 5.642, 53.43, 44.49
2034, 11, -0.3696, -1.917, 21.79, 28.54
2034, 12, -4.308, -5.687, 42.74, 46.74
2035, 1, -6.477, -7.893, 58.11, 66.2
2035, 2, -7.948, -9.016, 72.06, 81.7
2035, 3, -2.834, -3.943, 37.06, 41.06
2035, 4, 1.106, 0.1985, 56.1, 65.89
2035, 5, 8.774, 7.77, 46.49, 36.05
2035, 6, 13.22, 12, 24.22, 21.99
2035, 7, 15.5, 14.42, 112, 97.13
2035, 8, 15.15, 14.24, 64.57, 72.36
2035, 9, 8.408, 7.371, 134.9, 131.7
2035, 10, 3.904, 2.64, 57.89, 52.35
2035, 11, -3.625, -4.646, 65.24, 61.64
2035, 12, -9.305, -10.94, 80.27, 87.27
2036, 1, -5.418, -6.984, 41.2, 50.61
2036, 2, -7.208, -8.488, 32.44, 39.16
2036, 3, -3.507, -4.395, 61.22, 67.05
