# Created by WEAP: 1/2/2021 12:36:36 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Cowlitz (366,182 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (189,999 ha),  1000 - 2000 m (170,867 ha),  2000 - 3000 m (4,826 ha),  3000 - 4000 m (489 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, 2.629, -1.266, -7.366, -9.59, 234, 265.3, 338.7, 343.2
1950, 2, 6.35, 2.366, -3.881, -6.027, 225.4, 249.3, 384.4, 417.6
1950, 3, 5.293, 1.665, -4.585, -6.704, 150.8, 162.6, 233.1, 248.7
1950, 4, 6.258, 2.699, -3.355, -5.244, 124.6, 131.3, 188.9, 194.1
1950, 5, 9.421, 5.832, -0.2817, -2.095, 164.5, 158.3, 208.1, 216.1
1950, 6, 16.11, 13.18, 7.772, 6.057, 19.66, 20.31, 31.04, 31.64
1950, 7, 17.25, 14.57, 9.272, 7.641, 28.6, 23.81, 29.5, 29.07
1950, 8, 15.63, 12.79, 7.248, 5.55, 104.7, 90.29, 118.4, 130.4
1950, 9, 13.7, 10.36, 4.339, 2.383, 49.63, 50.49, 70.17, 73.72
1950, 10, 9.213, 5.869, -0.2339, -2.226, 189.6, 199.5, 252.9, 259
1950, 11, 5.907, 2.109, -3.956, -6.02, 77.33, 84.98, 115.8, 117.1
1950, 12, 2.901, -0.9711, -7.057, -9.187, 362.9, 420.9, 526, 524.6
1951, 1, 1.995, -1.916, -7.998, -10.04, 299.7, 332.8, 453.6, 465.8
1951, 2, 4.348, 0.4173, -5.585, -7.582, 387.3, 439.5, 602.9, 622
1951, 3, 4.213, 0.803, -5.106, -6.945, 164.9, 175.3, 256.8, 269.7
1951, 4, 9.464, 6.055, 0.02553, -1.814, 13.98, 11.64, 12.87, 12.69
1951, 5, 14.34, 11.35, 5.577, 3.734, 54.75, 57.89, 68.04, 67.51
1951, 6, 15, 11.79, 5.944, 4.262, 102.3, 80.35, 101.7, 107.8
1951, 7, 16.71, 13.43, 7.824, 6.115, 55.65, 56.55, 75.7, 74.15
1951, 8, 17.84, 14.56, 8.874, 7.203, 75.56, 77.03, 117.8, 129.3
1951, 9, 13.85, 10.51, 4.343, 2.383, 42.15, 38.75, 48.75, 52.41
1951, 10, 9.285, 5.781, -0.2201, -2.117, 268.3, 282.5, 368.1, 389.3
1951, 11, 1.896, -1.939, -8.218, -10.31, 286.6, 310.5, 419.1, 445.4
1951, 12, 2.646, -1.035, -7.143, -9.383, 185.7, 212.1, 294.4, 310.7
1952, 1, -2.351, -6.289, -12.41, -14.72, 174.9, 190.2, 277.7, 294.5
1952, 2, 0.9469, -2.866, -9.084, -11.18, 235.4, 260.8, 341.6, 348.5
1952, 3, 6.355, 2.605, -3.476, -5.393, 188.8, 199.5, 272, 278.2
1952, 4, 4.468, 0.8258, -5.335, -7.219, 204.8, 211.7, 300.5, 322.7
1952, 5, 8.726, 5.329, -0.7217, -2.566, 83.35, 76.9, 105.8, 107.8
1952, 6, 16.46, 13.39, 7.696, 5.983, 29.06, 27.51, 32.94, 32.15
1952, 7, 16.56, 13.6, 8.086, 6.511, 11.69, 11.35, 14.76, 13.3
1952, 8, 16.99, 14.02, 8.581, 6.958, 38.27, 35.83, 49.01, 51.43
1952, 9, 17.24, 14.22, 8.48, 6.416, 38.86, 36.18, 50.75, 52.38
1952, 10, 6.869, 3.291, -2.796, -4.779, 175.2, 179.4, 251.6, 270.5
1952, 11, 6.188, 2.707, -3.252, -5.301, 190.6, 198.1, 260.5, 269.4
1952, 12, 1.352, -2.537, -8.972, -11.31, 290.7, 320.3, 429.8, 444.7
1953, 1, 0.3653, -3.612, -9.912, -12.17, 185.8, 217.7, 282.6, 283.7
1953, 2, 3.658, -0.306, -6.616, -8.757, 249.2, 271.7, 356.4, 368.8
1953, 3, 4.661, 0.6467, -5.556, -7.485, 148.4, 166.2, 234.7, 238.6
1953, 4, 10.24, 6.691, 0.6851, -1.299, 58.6, 51.52, 72.93, 80.78
1953, 5, 13.05, 9.556, 3.737, 1.974, 194.1, 209.1, 324, 356
1953, 6, 14.15, 10.66, 4.78, 3.061, 160.3, 120.3, 164.5, 180.6
1953, 7, 16.55, 13.36, 8.066, 6.51, 14.57, 16.69, 20.44, 18.98
1953, 8, 18.04, 15.51, 10.32, 8.628, 33.47, 23.02, 26.63, 25.79
1953, 9, 16.71, 13.62, 7.837, 5.945, 48.53, 45.45, 48.7, 48.43
1953, 10, 7.621, 4.02, -2.148, -4.108, 220.2, 235, 283.4, 291.4
1953, 11, 3.48, -0.447, -6.681, -8.716, 355.2, 383.6, 504.5, 526.9
1953, 12, 0.5021, -3.461, -9.98, -12.37, 267.6, 289.1, 411.6, 433
1954, 1, 2.171, -1.846, -8.008, -10.07, 311.3, 345.3, 463.5, 482.3
1954, 2, 3.742, -0.267, -6.706, -8.926, 322.9, 363.2, 552.4, 596.5
1954, 3, 4.448, 0.6422, -5.556, -7.481, 176.2, 180.3, 276.3, 295.7
1954, 4, 7.55, 3.917, -2.129, -3.981, 174.6, 175.1, 233.5, 248.9
1954, 5, 11.54, 7.863, 1.925, 0.1741, 106.3, 101, 148.2, 159
1954, 6, 12.69, 9.227, 3.248, 1.52, 66.18, 60.02, 76.59, 77.19
1954, 7, 16.91, 14.14, 8.663, 7.057, 17.61, 14.04, 15.89, 14.64
1954, 8, 16.11, 12.84, 7.259, 5.598, 40.37, 36.29, 47.22, 48.13
1954, 9, 13.24, 10.2, 4.282, 2.396, 152.7, 154.9, 184.7, 187
1954, 10, 7.743, 4.031, -2.132, -4.003, 247.6, 246.3, 333.2, 352.5
1954, 11, 5.32, 1.487, -4.559, -6.561, 258.5, 276.4, 369.1, 389.6
1954, 12, 2.874, -1.01, -7.28, -9.577, 293.1, 337.2, 480.5, 511
1955, 1, 1.287, -2.698, -8.71, -10.77, 383.8, 429.5, 547.8, 555.2
1955, 2, 3.396, -0.3201, -6.68, -8.791, 97.13, 96.92, 151.6, 168.8
1955, 3, 5.919, 2.372, -3.641, -5.526, 176.1, 185.2, 260, 269.7
1955, 4, 7.431, 3.766, -2.384, -4.242, 125, 125.9, 174, 185.1
1955, 5, 7.913, 4.386, -1.585, -3.304, 112, 106.1, 146.8, 147.9
1955, 6, 14.62, 11.2, 5.477, 3.795, 25.07, 27.74, 40.37, 42.76
1955, 7, 15.78, 12.75, 7.161, 5.447, 22.92, 20.45, 27.91, 29.27
1955, 8, 18.65, 16.13, 10.75, 8.985, 15.01, 13.55, 20.97, 21.91
1955, 9, 13.96, 10.83, 4.972, 3.077, 23.5, 14.56, 16.03, 16.17
1955, 10, 8.64, 5.121, -0.8836, -2.737, 264.9, 279.7, 366.8, 383.1
1955, 11, 2.726, -1.019, -7.256, -9.269, 336, 343.1, 494.9, 532.8
1955, 12, 1.52, -2.483, -8.568, -10.68, 343.7, 386.3, 506.7, 522.9
1956, 1, -0.8443, -4.523, -10.43, -12.46, 297.3, 337.9, 424.5, 432.6
1956, 2, 4.895, 1.146, -5.197, -7.364, 77.85, 84.59, 125.6, 127.8
1956, 3, 5.632, 1.993, -3.911, -5.765, 201.6, 205.2, 315.2, 336.9
1956, 4, 9.481, 5.635, -0.4308, -2.269, 94.25, 98.93, 137.4, 140
1956, 5, 11.42, 7.899, 1.985, 0.236, 129.6, 128, 186.5, 189.7
1956, 6, 10.97, 7.422, 1.381, -0.367, 225.9, 193.7, 262.7, 283.9
1956, 7, 16.68, 13.55, 7.976, 6.32, 31.78, 29.98, 39.48, 39.99
1956, 8, 18.56, 15.55, 10.08, 8.311, 27.54, 18.31, 20.79, 21.42
1956, 9, 12.06, 8.666, 2.652, 0.8023, 112.1, 116.8, 143.5, 147.2
1956, 10, 9.979, 6.627, 0.7627, -1.212, 54.05, 50.85, 62.42, 64.56
1956, 11, 3.958, 0.3001, -5.741, -7.871, 188.5, 213.8, 262.6, 261.9
1956, 12, 2.64, -1.404, -7.739, -9.896, 364.5, 387.2, 546.7, 586.3
1957, 1, 1.092, -2.913, -9.263, -11.43, 329.5, 358.7, 477.4, 484.5
1957, 2, 3.12, -0.8869, -7.091, -9.137, 175, 189, 262.8, 267.6
1957, 3, 2.689, -1.199, -7.28, -9.216, 111, 109.5, 143.4, 143.3
1957, 4, 4.702, 1.133, -4.94, -6.771, 109, 113.3, 159.7, 167.4
1957, 5, 8.293, 4.859, -1.007, -2.747, 93.64, 92.97, 130.6, 139.9
1957, 6, 15.1, 12.04, 6.233, 4.473, 51.28, 49.85, 67.51, 71.42
1957, 7, 17.5, 14.72, 9.305, 7.672, 14.54, 18.98, 25.12, 23.16
1957, 8, 15.73, 12.62, 7.009, 5.33, 49.82, 49.64, 75.51, 77.8
1957, 9, 13.31, 10.57, 4.941, 3.108, 157.5, 157.2, 211, 233.5
1957, 10, 7.135, 3.528, -2.659, -4.647, 140.3, 129.3, 163.9, 169.7
1957, 11, 2.87, -0.6462, -6.751, -8.935, 170.7, 189.1, 233.8, 237.2
1957, 12, 4.07, 0.1179, -5.775, -7.886, 336, 386.9, 496, 512.2
1958, 1, 3.146, -0.7191, -6.818, -8.885, 258.8, 315.2, 482.9, 510.5
1958, 2, 2.352, -1.411, -7.8, -9.922, 181, 191.5, 290, 308.8
1958, 3, 5.738, 1.891, -4.252, -6.192, 110.2, 118.9, 173.6, 181.2
1958, 4, 8.942, 4.946, -1.055, -2.855, 170.6, 176.4, 260, 280.2
1958, 5, 9.557, 5.937, -0.1283, -1.936, 113.8, 107.2, 149.7, 153.5
1958, 6, 13.25, 9.95, 4.139, 2.478, 70.83, 69.59, 94.56, 97.81
1958, 7, 16.62, 13.97, 8.642, 6.982, 74.47, 68.35, 100.3, 102.5
1958, 8, 16.86, 13.95, 8.441, 6.792, 43.06, 39.03, 49.37, 50.55
1958, 9, 12.92, 9.585, 3.49, 1.644, 103.7, 102.6, 150.2, 168.7
1958, 10, 8.402, 4.925, -1.173, -3.102, 192.5, 196, 249.4, 260
1958, 11, 2.424, -1.367, -7.546, -9.647, 241.3, 251.7, 321.9, 344
1958, 12, 1.702, -2.126, -8.319, -10.55, 267.6, 283.8, 361.7, 371.1
1959, 1, 2.184, -1.756, -8.158, -10.4, 187.4, 202.1, 298.4, 314.2
1959, 2, 2.708, -1.224, -7.52, -9.552, 249.1, 261.4, 366.2, 388.7
1959, 3, 3.399, -0.539, -6.844, -8.769, 92.22, 91.35, 118.1, 116.6
1959, 4, 5.772, 2.136, -3.796, -5.58, 178.3, 185, 237.7, 241
1959, 5, 10.67, 7.452, 1.641, -0.1059, 70.18, 68.8, 98.74, 107.2
1959, 6, 14.72, 11.58, 5.901, 4.191, 7.672, 8.056, 10.02, 9.457
1959, 7, 17.79, 14.85, 9.208, 7.507, 19.73, 16.89, 26.92, 30.13
1959, 8, 17.02, 13.98, 8.394, 6.668, 40.36, 34.08, 44.27, 48.1
1959, 9, 13.63, 10.5, 4.609, 2.794, 193.3, 199.9, 233, 231.6
1959, 10, 6.263, 2.574, -3.34, -5.259, 152.7, 149.5, 202.7, 215.4
1959, 11, 3.938, 0.02615, -6.209, -8.229, 517.5, 570, 735.4, 768.7
1959, 12, 0.746, -3.044, -9.41, -11.66, 549.7, 629.4, 840.1, 878.3
1960, 1, 2.244, -1.761, -7.774, -9.775, 349.6, 427.9, 584.4, 607.2
1960, 2, 4.604, 1.136, -5.039, -7.066, 168.1, 170.7, 226, 230.5
1960, 3, 5.037, 1.222, -4.722, -6.507, 231.8, 231.4, 318.9, 329.9
1960, 4, 6.124, 2.438, -3.49, -5.293, 193.2, 206.7, 280.3, 286.5
1960, 5, 12.06, 8.692, 2.753, 0.9526, 109.4, 111.9, 165.4, 177.2
1960, 6, 11.99, 8.585, 2.656, 0.9583, 92.9, 85.27, 112.4, 117.3
1960, 7, 16.46, 13.34, 7.774, 6.126, 24.53, 27.19, 29.79, 26.67
1960, 8, 16.63, 13.69, 8.041, 6.343, 33.69, 25, 32.58, 33.61
1960, 9, 15.04, 12.38, 6.65, 4.688, 19.76, 19.05, 25.23, 25.16
1960, 10, 9.066, 5.546, -0.5514, -2.501, 202.2, 200.9, 261.3, 276.1
1960, 11, 6.006, 2.176, -3.874, -5.928, 118.6, 118.6, 157.8, 164.7
1960, 12, 0.175, -3.743, -10.13, -12.4, 279.8, 317, 440.7, 468.1
1961, 1, -0.08502, -4.007, -10.25, -12.46, 276.2, 309.5, 419.8, 437.2
1961, 2, 4.103, 0.06801, -6.109, -8.161, 386.6, 439, 643.6, 676
1961, 3, 3.585, -0.3461, -6.557, -8.447, 179.1, 188.1, 246, 248.4
1961, 4, 9.909, 6.293, 0.2652, -1.55, 123.7, 114.1, 160.3, 165.9
1961, 5, 11, 7.475, 1.526, -0.2577, 114.5, 118.9, 178.3, 198.7
1961, 6, 12.7, 9.137, 3.329, 1.69, 117, 103.4, 141.6, 151.1
1961, 7, 15.11, 12.2, 6.909, 5.247, 36.29, 43.06, 71.1, 75.31
1961, 8, 16.55, 13.89, 8.388, 6.576, 39.36, 19.06, 19.08, 19.05
1961, 9, 15.68, 13.08, 7.553, 5.615, 54.47, 44.19, 57.98, 61.55
1961, 10, 6.881, 3.299, -2.785, -4.758, 280.2, 277, 348.8, 362.3
1961, 11, 1.794, -2.127, -8.694, -10.8, 235.7, 246.3, 316.4, 326.1
1961, 12, 0.4926, -3.477, -9.993, -12.28, 345.5, 388.7, 527.5, 550.4
1962, 1, 0.8197, -3.189, -9.239, -11.23, 248, 269, 360.1, 369.1
1962, 2, 3.252, -0.6067, -6.875, -8.954, 458, 485.5, 667.1, 698.9
1962, 3, 2.679, -1.319, -7.422, -9.321, 289.9, 314.8, 452.8, 471.9
1962, 4, 4.473, 0.6673, -5.407, -7.116, 188.1, 189.7, 275.5, 297.1
1962, 5, 11.04, 7.759, 1.875, 0.1443, 64.9, 61.85, 86.21, 91.86
1962, 6, 13.93, 10.71, 4.949, 3.248, 68.06, 56.8, 79.56, 84.61
1962, 7, 17.87, 15.18, 9.77, 8.086, 10.8, 8.624, 10.5, 9.997
1962, 8, 17.35, 14.39, 8.675, 6.904, 100.4, 86.64, 111.1, 124.2
1962, 9, 14.03, 10.77, 4.782, 2.862, 171.8, 171.3, 251.2, 281.5
1962, 10, 11.14, 7.783, 1.916, -0.01747, 92.96, 101.5, 157.9, 174.7
1962, 11, 4.534, 0.723, -5.332, -7.283, 353.5, 374.4, 474.7, 497.1
1962, 12, -0.2194, -4.129, -10.53, -12.87, 352.8, 390.3, 507.9, 523.8
1963, 1, -2.942, -7.158, -13.98, -16.55, 159, 182.7, 247.1, 261.8
1963, 2, 3.4, -0.2454, -6.478, -8.611, 246.4, 269.4, 380.5, 388.5
1963, 3, 0.9922, -2.972, -9.078, -11.07, 366.1, 398.4, 593.8, 634.7
1963, 4, 3.235, -0.4449, -6.458, -8.161, 84.56, 73.05, 107.7, 110.7
1963, 5, 9.714, 6.262, 0.2647, -1.522, 147.8, 138, 169.8, 176
1963, 6, 13.57, 10.03, 4.243, 2.575, 118.5, 115.5, 158.2, 169
1963, 7, 14.4, 11.15, 5.547, 3.964, 40.44, 40.71, 52.54, 51.8
1963, 8, 17.26, 14.56, 8.973, 7.139, 30.4, 25.07, 29.09, 30.95
1963, 9, 12.47, 9.473, 3.586, 1.678, 80.64, 70.05, 77.81, 79.75
1963, 10, 7.185, 3.479, -2.624, -4.584, 233.5, 235.3, 293.8, 301.8
1963, 11, 5.871, 2.32, -3.875, -5.987, 192.3, 218.6, 288, 289.1
1963, 12, 1.793, -2.142, -8.649, -11.02, 462.1, 527.5, 714, 741
1964, 1, 0.7748, -3.4, -9.754, -11.94, 385.4, 425.7, 595, 606.2
1964, 2, 2.333, -1.63, -7.957, -10.11, 208.9, 218.2, 307.3, 319.7
1964, 3, 2.913, -0.9231, -7.061, -8.96, 86.93, 78.55, 99.99, 99.39
1964, 4, 6.49, 2.73, -3.291, -5.034, 151.9, 154.1, 227.2, 241.6
1964, 5, 8.402, 4.878, -1.139, -2.892, 166.8, 177.3, 270.3, 292.1
1964, 6, 14.37, 11.42, 5.913, 4.207, 3.386, 2.88, 3.683, 3.716
1964, 7, 17.17, 14.47, 9.117, 7.456, 17.74, 20.04, 27.9, 26.89
1964, 8, 15.89, 12.69, 6.92, 5.112, 50.15, 38.24, 48.94, 51.97
1964, 9, 15.23, 12.44, 6.826, 4.966, 47.43, 43.13, 46.43, 47.33
1964, 10, 9.054, 5.873, -0.1159, -2.206, 103.8, 107.5, 146.1, 151.9
1964, 11, 2.532, -1.432, -7.912, -10.03, 498.1, 527.3, 691.1, 733.7
1964, 12, 2.984, -0.8466, -6.809, -8.87, 416.9, 466.4, 622.7, 657.3
1965, 1, -0.08834, -4.39, -10.83, -13.16, 336.5, 373.4, 507.3, 534.9
1965, 2, 2.181, -1.631, -7.825, -9.94, 256.8, 286, 372.8, 371.7
1965, 3, 5.147, 1.451, -4.629, -6.582, 152.4, 165.6, 225.6, 234.7
1965, 4, 7.594, 3.887, -1.993, -3.805, 118.9, 117.4, 146.1, 148.6
1965, 5, 10.25, 6.804, 0.9171, -0.849, 86.34, 86.72, 121.2, 124.4
1965, 6, 13.2, 10.15, 4.368, 2.65, 96.86, 90.04, 136.5, 149.3
1965, 7, 15.46, 12.56, 6.993, 5.367, 45.12, 37.12, 49.09, 51.48
1965, 8, 14.66, 11.6, 6.103, 4.445, 167.6, 185.9, 263.1, 286.9
1965, 9, 14.74, 11.38, 5.361, 3.414, 42.52, 35.36, 43.94, 46.19
1965, 10, 11.74, 8.941, 3.025, 0.846, 39.72, 29.79, 26.84, 27.85
1965, 11, 5.222, 1.552, -4.579, -6.681, 232.6, 248.3, 314.3, 329
1965, 12, 4.277, 0.463, -5.497, -7.684, 185.8, 207.8, 268.2, 272.9
1966, 1, 0.4611, -3.563, -10.05, -12.38, 273.1, 306.5, 408.1, 427.7
1966, 2, 1.825, -1.959, -8.077, -10.21, 102.5, 116.1, 169, 179.6
1966, 3, 3.677, -0.3749, -6.716, -8.656, 192.9, 204.1, 285.2, 298.6
1966, 4, 8.027, 4.374, -1.541, -3.316, 157.3, 152.8, 213.7, 231.7
1966, 5, 11.68, 8.377, 2.559, 0.7763, 12.08, 8.796, 12.31, 12.65
1966, 6, 12.84, 9.956, 4.352, 2.637, 11.69, 9.977, 10.58, 9.735
1966, 7, 15.02, 11.94, 6.513, 4.875, 16.29, 14.27, 19.54, 20.39
1966, 8, 17.08, 14.55, 9.18, 7.46, 20.73, 17.15, 21.33, 21.22
1966, 9, 12.61, 9.76, 4.109, 2.296, 143.5, 139.3, 194.8, 204.5
1966, 10, 10.73, 7.685, 1.795, -0.3204, 66.75, 61.49, 71.43, 73.41
1966, 11, 5.967, 2.094, -3.935, -6.05, 205.9, 226.7, 309.9, 327.4
1966, 12, 2.508, -1.308, -7.337, -9.453, 375.8, 400.9, 507.9, 519.9
1967, 1, 1.01, -2.93, -9.232, -11.38, 100.8, 107.2, 146.5, 148.7
1967, 2, 4.548, 1.15, -5.147, -7.228, 110.8, 117.1, 163.6, 170.4
1967, 3, 7.392, 3.749, -2.347, -4.48, 57.62, 60.67, 86.43, 91.61
1967, 4, 7.379, 3.59, -2.403, -4.28, 139.3, 141.3, 203.6, 218.9
1967, 5, 10.7, 7.066, 1.098, -0.6277, 73.46, 70.61, 105.4, 109.5
1967, 6, 16.03, 12.88, 7.398, 5.709, 33.53, 31.14, 42.56, 45.99
1967, 7, 16.56, 13.54, 7.967, 6.289, 13.38, 11.66, 13.62, 11.9
1967, 8, 16.34, 13.46, 7.959, 6.234, 43.26, 37.75, 51.21, 51.86
1967, 9, 15.21, 12.25, 6.637, 4.84, 34.09, 30.29, 34.06, 34.95
1967, 10, 8.879, 5.667, -0.2115, -2.233, 85.19, 77.05, 92.34, 98.67
1967, 11, 4.566, 1.048, -5.175, -7.315, 188.7, 198.6, 229.1, 228.6
1967, 12, 1.823, -2.132, -8.489, -10.7, 395.2, 438.8, 597.6, 625.4
1968, 1, 1.56, -2.451, -8.572, -10.71, 334.5, 383.9, 530.5, 548.3
1968, 2, 2.965, -0.9394, -7.049, -9.061, 332.1, 376.2, 509.7, 533.1
1968, 3, 5.056, 1.398, -4.473, -6.313, 191.6, 208.4, 277.5, 280.2
1968, 4, 7.03, 3.229, -2.947, -4.779, 112.8, 112.6, 150.6, 154.4
1968, 5, 10.8, 7.253, 1.309, -0.454, 161.4, 168.3, 249.7, 270.3
1968, 6, 12.77, 9.389, 3.603, 1.965, 69, 70.81, 95.12, 97.24
1968, 7, 16.03, 12.85, 7.223, 5.652, 101.9, 82.46, 109.8, 112.7
1968, 8, 17.48, 14.53, 8.948, 7.21, 67.83, 59.47, 87.57, 95.26
1968, 9, 15.31, 12.29, 6.367, 4.406, 11.98, 12.09, 19.34, 22.37
1968, 10, 8.101, 4.868, -1.013, -3.105, 84.42, 78.73, 116.4, 128.7
1968, 11, 3.288, -0.5879, -6.937, -9.147, 298.2, 318.2, 404.6, 419.1
1968, 12, 1.479, -2.136, -8.428, -10.66, 356.2, 399, 477.4, 489.3
1969, 1, -0.7224, -4.313, -10.36, -12.64, 232.5, 264.9, 360.5, 369.4
1969, 2, 5.101, 1.239, -5.058, -7.146, 257.8, 300.4, 406.9, 417.8
1969, 3, 5.987, 2.308, -3.817, -5.86, 170.5, 171.3, 250, 268.2
1969, 4, 7.463, 3.927, -2.003, -3.845, 140.1, 138.9, 199.9, 206.6
1969, 5, 13.31, 9.987, 4.207, 2.413, 70.99, 76.75, 111.7, 117.9
1969, 6, 16.54, 13.49, 8.032, 6.273, 44.31, 44, 55.46, 58.44
1969, 7, 18.31, 15.25, 9.841, 8.282, 80.07, 70.9, 97.85, 105.3
1969, 8, 20.27, 17.23, 11.71, 9.973, 28.42, 27.7, 37.13, 39.32
1969, 9, 18.44, 15.96, 10.45, 8.459, 4.805, 2.667, 4.218, 4.821
1969, 10, 8.955, 5.459, -0.2969, -2.197, 235.7, 237.4, 303.5, 313.5
1969, 11, 2.673, -1.097, -7.247, -9.322, 263.7, 273.3, 357.9, 371.5
1969, 12, -1.576, -5.357, -11.85, -14.33, 122.8, 127.9, 166.2, 173.3
1970, 1, 1.626, -2.279, -8.418, -10.65, 232, 250.5, 339.9, 352.6
1970, 2, -0.4455, -4.271, -10.66, -12.82, 65.68, 69.84, 91.42, 91.63
1970, 3, 5.222, 1.464, -4.728, -6.805, 110.3, 104, 151.8, 162.6
1970, 4, 9.818, 6.096, 0.03944, -1.897, 76.66, 75.76, 101.2, 106.1
1970, 5, 12.46, 9.132, 3.096, 1.265, 51.53, 47.91, 64.96, 65.52
1970, 6, 15.01, 11.78, 6.146, 4.475, 83.15, 79.54, 118, 127
1970, 7, 16.82, 13.96, 8.543, 6.897, 21.24, 18.46, 26.37, 27.23
1970, 8, 14.85, 11.59, 5.995, 4.284, 38.75, 39.04, 55.59, 57.65
1970, 9, 14.61, 11.7, 5.832, 3.901, 70.34, 70.74, 85.74, 87.69
1970, 10, 10.66, 7.453, 1.411, -0.6272, 121.6, 120.8, 166.4, 180.7
1970, 11, 5.077, 1.229, -4.905, -6.921, 234.8, 266, 341.9, 350.9
1970, 12, 1.973, -2.222, -8.645, -10.92, 363, 414.8, 534, 546.7
1971, 1, 0.4278, -3.492, -9.893, -12.22, 218.2, 248.4, 337.3, 348.6
1971, 2, 2.429, -1.749, -8.298, -10.49, 279.9, 309.7, 468.9, 512.6
1971, 3, 2.917, -1.036, -7.106, -8.976, 331.9, 339.7, 487.3, 524.7
1971, 4, 7.984, 4.374, -1.537, -3.259, 115.6, 113.4, 161.2, 167.5
1971, 5, 12.35, 8.916, 3.164, 1.434, 104.3, 111.7, 147.6, 149.3
1971, 6, 13.87, 10.73, 5.08, 3.425, 65.63, 58.28, 78, 85.04
1971, 7, 19.02, 15.99, 10.64, 9.006, 2.649, 2.838, 3.891, 3.92
1971, 8, 16.13, 13.11, 7.565, 5.88, 34.05, 28.63, 40.03, 43.19
1971, 9, 14.72, 11.94, 6.277, 4.404, 38.78, 37.07, 42.09, 41.12
1971, 10, 8.059, 4.538, -1.673, -3.693, 228, 236.5, 320.8, 342.7
1971, 11, 3.351, -0.3809, -6.73, -8.805, 230.1, 243.8, 325.6, 348
1971, 12, 2.045, -1.716, -7.902, -10.09, 96.16, 105.4, 127.6, 123.9
1972, 1, 0.9656, -2.949, -9.367, -11.64, 367.3, 408.8, 523.1, 536.9
1972, 2, 4.927, 1.301, -4.705, -6.745, 72.11, 84.35, 106.2, 99.29
1972, 3, 8.904, 5.224, -0.9459, -3.051, 134.5, 138.2, 178.9, 179.7
1972, 4, 9.568, 5.823, -0.2387, -2.151, 85.22, 93.48, 149.2, 163.5
1972, 5, 11.68, 8.384, 2.417, 0.6177, 65.05, 66.78, 87.04, 91.07
1972, 6, 13.82, 10.38, 4.531, 2.841, 75.63, 66.93, 88.3, 94.21
1972, 7, 16.65, 13.65, 8.08, 6.409, 11.74, 12.51, 18.72, 18.5
1972, 8, 16.36, 13.28, 7.743, 6.064, 64.9, 71.43, 108.7, 116.3
1972, 9, 14.28, 11.19, 5.301, 3.358, 4.022, 2.646, 3.09, 3.056
1972, 10, 11.44, 8.489, 2.624, 0.5301, 88.59, 83.11, 106.8, 111.8
1972, 11, 4.762, 1.014, -5.17, -7.223, 361.6, 385.5, 504.9, 526.7
1972, 12, 1.721, -2.3, -8.589, -10.84, 421.9, 465.8, 624.3, 647.5
1973, 1, 1.331, -2.857, -9.184, -11.32, 493.9, 533.1, 750.7, 792.6
1973, 2, 3.004, -0.864, -7.352, -9.59, 178.6, 197.8, 295.4, 312.2
1973, 3, 2.533, -1.601, -7.828, -9.652, 221.9, 237.5, 324.4, 329.9
1973, 4, 4.431, 0.6994, -5.357, -7.106, 198.2, 208, 289.2, 300.1
1973, 5, 11.61, 8.241, 2.333, 0.5652, 81.34, 73.73, 103.4, 111.3
1973, 6, 12.53, 9.104, 3.352, 1.699, 70.35, 66.57, 90.85, 95.49
1973, 7, 17.14, 14.61, 9.273, 7.614, 23.62, 24.5, 27.33, 25.37
1973, 8, 15.33, 12.08, 6.303, 4.546, 141.6, 128.9, 176.1, 193.7
1973, 9, 15.93, 12.97, 7.2, 5.358, 75.5, 70.31, 87.28, 86.73
1973, 10, 10.31, 7.182, 1.214, -0.8512, 133.6, 138.2, 167.7, 169.3
1973, 11, 4.169, 0.5423, -5.786, -7.885, 201.6, 232.4, 300.1, 304
1973, 12, 2.937, -0.8871, -6.926, -9.015, 375.9, 417.6, 561.8, 590.1
1974, 1, 1.831, -2.206, -8.335, -10.43, 281.4, 335.7, 460.6, 473.5
1974, 2, 5.014, 1.251, -4.918, -7.005, 203.1, 214.9, 272.6, 275.8
1974, 3, 3.415, -0.3043, -6.274, -8.127, 343.6, 343.4, 521.1, 551.7
1974, 4, 5.978, 2.372, -3.62, -5.429, 128.3, 132.8, 213.2, 233.1
1974, 5, 10.57, 7.166, 1.199, -0.611, 119.6, 116, 166.5, 174.5
