# Created by WEAP: 5/10/2021 8:29:22 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_bcc-csm1-1-m_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Lwr Lewis (36,689 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (34,563 ha),  1000 - 2000 m (2,126 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 2.109, -1.135, 888.8, 1001
2006, 2, 4.853, 1.514, 303.6, 331.8
2006, 3, 7.174, 4.141, 158.8, 188.6
2006, 4, 8.779, 6.313, 238.8, 238.8
2006, 5, 10.97, 8.544, 232.2, 246.1
2006, 6, 15.39, 12.89, 72.58, 72.93
2006, 7, 16.81, 14.48, 52.6, 42.9
2006, 8, 20.4, 18.24, 27.58, 28.39
2006, 9, 17.53, 15.09, 80.22, 64.51
2006, 10, 12.69, 9.883, 114.7, 100.7
2006, 11, 3.865, 0.8797, 291.3, 303.9
2006, 12, 0.9223, -2.291, 428.7, 465.8
2007, 1, 0.2367, -2.954, 213.2, 271.5
2007, 2, 4.573, 1.315, 369.1, 399.4
2007, 3, 5.167, 2.326, 166.5, 163.9
2007, 4, 5.597, 3.021, 307, 305.7
2007, 5, 11.25, 8.732, 102.9, 92.72
2007, 6, 16.09, 13.95, 118.9, 129
2007, 7, 19.81, 17.93, 15.67, 11.62
2007, 8, 18.96, 16.66, 106.8, 109.7
2007, 9, 14.96, 12.34, 116.3, 109.8
2007, 10, 10.29, 7.397, 236, 285.5
2007, 11, 5.593, 2.59, 584.7, 652.3
2007, 12, 0.8657, -2.424, 464.3, 484.3
2008, 1, -3.108, -6.457, 262.7, 273.6
2008, 2, 6.233, 2.92, 248.6, 269.6
2008, 3, 7.987, 4.981, 254.3, 272.9
2008, 4, 9.496, 6.872, 170.8, 167.3
2008, 5, 12.75, 10.28, 137, 134.1
2008, 6, 16.39, 14.27, 153.6, 160.6
2008, 7, 17.25, 14.96, 78.71, 70.84
2008, 8, 21.18, 19.08, 10.84, 13.07
2008, 9, 19.63, 17.23, 23.4, 22.69
2008, 10, 8.664, 5.838, 378.9, 430
2008, 11, 6.524, 3.712, 238.8, 248.9
2008, 12, 2.676, -0.6845, 444.5, 517.4
2009, 1, 3.307, 0.1136, 221.1, 235
2009, 2, 6.145, 2.887, 219.4, 236.7
2009, 3, 8.254, 5.327, 271.8, 286.9
2009, 4, 11.08, 8.278, 126.7, 135.5
2009, 5, 13.9, 11.21, 93.48, 98.59
2009, 6, 16.06, 13.85, 31.43, 27.97
2009, 7, 20.71, 18.58, 5.828, 7.808
2009, 8, 17.24, 14.9, 35.79, 37.34
2009, 9, 15.67, 13.26, 180.6, 166.2
2009, 10, 10.98, 7.953, 120.5, 115.2
2009, 11, 4.336, 1.329, 276.5, 285.3
2009, 12, 0.08599, -3.262, 322.1, 370.4
2010, 1, 1.661, -1.583, 336, 394.2
2010, 2, 5.78, 2.485, 374.7, 442.5
2010, 3, 6.688, 3.926, 371, 399.7
2010, 4, 8.827, 6.123, 94.7, 87.85
2010, 5, 14.43, 12, 88.24, 90.68
2010, 6, 18.23, 15.91, 78.94, 55.56
2010, 7, 18.32, 16.36, 47.68, 54.39
2010, 8, 18.78, 16.3, 197.8, 238.9
2010, 9, 15.92, 13.53, 241.4, 278.3
2010, 10, 10.23, 7.27, 232.8, 214.5
2010, 11, 6.457, 3.546, 253.6, 238.7
2010, 12, 1.815, -1.465, 245.9, 281.6
2011, 1, 3.616, 0.3664, 549, 579.1
2011, 2, 5.122, 1.737, 456.7, 481.8
2011, 3, 8.774, 5.863, 247.7, 283.9
2011, 4, 8.604, 5.585, 138.6, 133.4
2011, 5, 10.18, 7.565, 146.9, 137.8
2011, 6, 15.25, 13.18, 60.6, 62.73
2011, 7, 21.12, 18.96, 34.87, 35.45
2011, 8, 19.61, 17.44, 40.15, 40.41
2011, 9, 15.81, 13.35, 158.2, 146.3
2011, 10, 9.605, 6.834, 135.3, 150
2011, 11, 7.965, 4.987, 391.6, 409.7
2011, 12, 4.318, 1.085, 484.4, 523.4
2012, 1, 2.013, -1.321, 267.6, 253.7
2012, 2, 5.363, 1.977, 267.4, 274.7
2012, 3, 6.534, 3.533, 414.3, 462.8
2012, 4, 8.513, 5.72, 256.2, 274.5
2012, 5, 13.96, 11.62, 80.17, 81.39
2012, 6, 16.54, 14.23, 136.7, 139.4
2012, 7, 18.13, 15.91, 25.78, 19.63
2012, 8, 18.68, 16.38, 53.47, 62.68
2012, 9, 16.71, 14.08, 50.89, 41.24
2012, 10, 10.43, 7.695, 383.6, 368.8
2012, 11, 2.088, -0.9598, 571.4, 573.6
2012, 12, 0.6907, -2.829, 444.6, 476.9
2013, 1, 3.564, 0.3549, 773.7, 836.8
2013, 2, 4.652, 1.307, 272.6, 306.3
2013, 3, 6.614, 3.432, 287.2, 304.4
2013, 4, 9.699, 7.018, 188.2, 195.7
2013, 5, 12.88, 10.58, 123.1, 114.4
2013, 6, 17.62, 15.22, 36.18, 27.58
2013, 7, 20.06, 17.91, 11, 9.191
2013, 8, 19.95, 17.83, 15.7, 11.76
2013, 9, 14.81, 12.25, 190.3, 189.5
2013, 10, 11, 8.309, 216.6, 217.2
2013, 11, 5.664, 2.685, 457.7, 487.4
2013, 12, 3.68, 0.1309, 683, 740.1
2014, 1, 0.9625, -2.202, 461.4, 489.7
2014, 2, 2.447, -0.8256, 413.7, 474.5
2014, 3, 8.523, 5.619, 556.4, 649.2
2014, 4, 8.508, 6.029, 280.1, 283.7
2014, 5, 13.49, 10.91, 60.1, 54.42
2014, 6, 16.67, 14.41, 95.73, 78.17
2014, 7, 18.9, 16.75, 11.86, 8.25
2014, 8, 19.88, 17.77, 12.19, 11.95
2014, 9, 16.12, 13.53, 227.3, 212.2
2014, 10, 9.663, 6.682, 440.2, 465.3
2014, 11, 0.883, -2.061, 484.8, 544.1
2014, 12, 3.285, 0.04449, 403.6, 385.3
2015, 1, 3.272, 0.2846, 435.2, 479.3
2015, 2, 3.303, -0.004526, 436, 471.8
2015, 3, 8.562, 5.44, 142.5, 153.2
2015, 4, 7.754, 5.037, 162.6, 172.5
2015, 5, 12.89, 10.57, 102.7, 103.4
2015, 6, 16.8, 14.43, 44.68, 42.66
2015, 7, 21.22, 18.99, 22.68, 25.5
2015, 8, 18.98, 16.67, 146.6, 152.8
2015, 9, 15.33, 12.87, 178.3, 189.1
2015, 10, 11.73, 8.936, 223.8, 222.7
2015, 11, 5.592, 2.685, 579.5, 644.2
2015, 12, 4.553, 1.271, 749.8, 785.2
2016, 1, 3.366, -0.0799, 345.7, 370.7
2016, 2, 3.606, 0.4288, 441.5, 487.7
2016, 3, 5.131, 2.239, 494.1, 530.3
