# Created by WEAP: 4/20/2021 6:28:37 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_SEATAC_Cedar (129,609 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (129,026 ha),  1000 - 2000 m (583 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 4.186, 0.05963, 127.9, 279.3
2006, 2, 4.307, 0.1093, 169.9, 414.3
2006, 3, 10.11, 7.016, 24.72, 54.66
2006, 4, 11.48, 7.601, 55.88, 139.9
2006, 5, 16.4, 12.88, 46.53, 127.9
2006, 6, 16.1, 12.54, 35.37, 81.7
2006, 7, 18.93, 15.19, 10.61, 25.61
2006, 8, 20.27, 16.51, 23.74, 62.13
2006, 9, 15.08, 10.42, 96.15, 241.2
2006, 10, 11.5, 7.881, 132.8, 344.1
2006, 11, 8.351, 4.635, 279.4, 551.1
2006, 12, 2.518, -1.927, 132.2, 289
2007, 1, 4.554, 0.1454, 166.7, 399.1
2007, 2, 6.314, 1.675, 114.2, 221.8
2007, 3, 9.046, 5.202, 46.1, 105.3
2007, 4, 10.68, 5.771, 105.9, 271.8
2007, 5, 14.6, 11.16, 86.75, 201.6
2007, 6, 18.3, 15.13, 18.04, 48.46
2007, 7, 18.81, 14.72, 27.63, 61.39
2007, 8, 21.98, 19.03, 13.93, 54.72
2007, 9, 15.9, 12.01, 14.66, 44.27
2007, 10, 11.95, 9.077, 34.41, 73.88
2007, 11, 8.096, 4.26, 207.9, 480.6
2007, 12, 4.92, 0.6736, 88.7, 216.3
2008, 1, 5.166, 1.033, 90.98, 243.1
2008, 2, 7.532, 3.609, 321.5, 663.4
2008, 3, 7.458, 2.935, 320.5, 730.8
2008, 4, 11.37, 7.311, 82.53, 163.2
2008, 5, 12.24, 7.366, 43.96, 119.5
2008, 6, 18.39, 13.58, 29.74, 89.56
2008, 7, 17.65, 13.39, 15.69, 39.23
2008, 8, 20.44, 17.41, 11.31, 24.8
2008, 9, 17.21, 14.03, 43.51, 101.7
2008, 10, 10.76, 6.798, 117, 284.3
2008, 11, 7.899, 3.914, 148.5, 299.3
2008, 12, 5.138, 0.8563, 191.5, 397.5
2009, 1, 4.254, -0.3046, 166.5, 462.7
2009, 2, 4.559, 0.02904, 178.6, 490.4
2009, 3, 8.14, 3.286, 159.7, 419.3
2009, 4, 9.34, 4.831, 44.95, 115.8
2009, 5, 12.59, 8.386, 66.97, 141.3
2009, 6, 18.25, 13.87, 19.22, 119
2009, 7, 18.23, 14.08, 36.88, 55.1
2009, 8, 19.17, 15.94, 52.78, 103
2009, 9, 16.25, 12.47, 28.86, 74.45
2009, 10, 11.16, 7.833, 42.8, 111.8
2009, 11, 8.058, 4.287, 142.4, 354.4
2009, 12, 3.403, -0.5985, 157.3, 351.8
2010, 1, 4.763, 0.6252, 46.95, 117.1
2010, 2, 5.319, 1.14, 150.5, 277.6
2010, 3, 7.696, 3.448, 84.18, 216.4
2010, 4, 11.38, 7.248, 56.03, 157.1
2010, 5, 16.41, 12.93, 43.53, 84.16
2010, 6, 16.32, 12.02, 93.51, 186.5
2010, 7, 20.86, 17.35, 2.747, 5.175
2010, 8, 21.85, 18.66, 5.683, 23.76
2010, 9, 18.67, 15.7, 22.66, 47.03
2010, 10, 11.18, 7.398, 82.83, 208.4
2010, 11, 5.978, 2.023, 124.9, 329.2
2010, 12, 4.26, 0.1675, 89.15, 269
2011, 1, 1.26, -3.534, 137.6, 345.8
2011, 2, 6.948, 3.353, 132, 327.4
2011, 3, 9.905, 5.582, 128, 268.7
2011, 4, 11.62, 6.952, 96.69, 220.7
2011, 5, 14.55, 11.27, 64.66, 147.2
2011, 6, 14.51, 10.18, 62.38, 157.6
2011, 7, 21.39, 18.16, 8.261, 14.66
2011, 8, 19.82, 16.8, 15.02, 17.71
2011, 9, 17.39, 14.11, 7.343, 26.64
2011, 10, 12.27, 8.615, 124.8, 297.5
2011, 11, 8.565, 5.015, 144.1, 292.7
2011, 12, 6.542, 2.32, 159.3, 372.9
2012, 1, 4.329, -0.01933, 256.6, 596.3
2012, 2, 3.59, -0.6863, 132.2, 230.4
2012, 3, 7.502, 3.084, 111.3, 211
2012, 4, 11.37, 7.459, 146, 307.6
2012, 5, 14.06, 10.47, 52.61, 144.7
2012, 6, 17.91, 13.94, 35.38, 82.05
2012, 7, 21.4, 18.24, 5.382, 28.44
2012, 8, 21.46, 18.44, 3.108, 1.318
2012, 9, 18.59, 15.17, 15.23, 32.05
2012, 10, 11.19, 7.259, 86.42, 215.9
2012, 11, 7.318, 3.025, 112.8, 280.2
2012, 12, 2.26, -2.389, 139.9, 269
2013, 1, 1.558, -3.081, 129.9, 317.1
2013, 2, 6.238, 2.038, 110.9, 261.5
2013, 3, 8.57, 4.114, 46.39, 116.2
2013, 4, 10.59, 6.122, 104.9, 202.2
2013, 5, 13.64, 9.748, 96.94, 229.3
2013, 6, 15.47, 11.26, 54.58, 124.1
2013, 7, 19.6, 15.92, 14.78, 38.48
2013, 8, 20.26, 16.66, 1.11, 2.123
2013, 9, 19.96, 17.43, 54.76, 152.8
2013, 10, 12.42, 9.246, 71.7, 146.8
2013, 11, 7.426, 3.445, 181, 405.6
2013, 12, 0.916, -3.493, 60.5, 156.2
2014, 1, 2.634, -1.812, 68.69, 198.3
2014, 2, 5.941, 2.485, 88.55, 253.9
2014, 3, 9.112, 5.113, 98, 245.8
2014, 4, 10.8, 5.731, 55.88, 231.7
2014, 5, 14.21, 10.33, 47.81, 126.2
2014, 6, 17.73, 13.88, 31.53, 81.33
2014, 7, 21.54, 17.47, 57.48, 80.14
2014, 8, 19.9, 16.11, 45.29, 78.28
2014, 9, 14.08, 9.845, 14.85, 36.26
2014, 10, 11.3, 7.687, 66.47, 147.3
2014, 11, 8.513, 4.703, 117.7, 193.8
2014, 12, 6.545, 2.439, 233.7, 528.4
2015, 1, 6.922, 2.691, 261.7, 529.4
2015, 2, 7.512, 3.545, 95.53, 227.8
2015, 3, 10.65, 6.72, 60.07, 154
2015, 4, 12.79, 8.914, 42.86, 124.3
2015, 5, 15.07, 11.63, 49.6, 122.4
2015, 6, 19.72, 15.64, 31.82, 77.5
2015, 7, 21.23, 18.11, 2.214, 4.951
2015, 8, 21.53, 18.45, 13.24, 19.81
2015, 9, 19.36, 16.16, 28.53, 88.87
2015, 10, 13.67, 10.66, 40.86, 70.36
2015, 11, 7.83, 3.753, 320.2, 648.2
2015, 12, 5.846, 1.552, 200.4, 394.4
2016, 1, 4.567, -0.1217, 166.1, 373.2
2016, 2, 5.161, 0.6758, 183.5, 357.9
2016, 3, 6.522, 2.033, 84.65, 228.2
2016, 4, 9.812, 5.385, 137.1, 267.2
2016, 5, 11.49, 6.868, 147.5, 338.2
2016, 6, 15.18, 10.64, 66.67, 157.8
2016, 7, 20.63, 16.7, 23.12, 46.78
2016, 8, 20.94, 16.96, 2.698, 1.896
2016, 9, 18.41, 15.26, 51.13, 108.1
2016, 10, 12.96, 9.786, 106.5, 268.5
2016, 11, 6.691, 2.843, 229.3, 441
2016, 12, 3.15, -1.067, 154.9, 408.9
2017, 1, 2.797, -1.398, 177, 408.2
2017, 2, 6.651, 2.151, 218.2, 486.1
2017, 3, 10.27, 6.46, 57, 123.6
2017, 4, 11.56, 7.377, 98.87, 219.8
2017, 5, 15.25, 11.7, 46.51, 154.1
2017, 6, 18.31, 14.64, 48.93, 95.12
2017, 7, 20.87, 17.01, 16.12, 39.45
2017, 8, 20.81, 17.3, 23.32, 46.29
2017, 9, 16.31, 12.4, 43, 82.48
2017, 10, 10.99, 7.164, 66.55, 143
2017, 11, 7.857, 3.415, 130.5, 321.4
2017, 12, 4.741, 0.6777, 162.1, 373
2018, 1, 4.362, -0.146, 141.2, 321.6
2018, 2, 5.585, 1.049, 126.6, 276.3
2018, 3, 7.492, 2.929, 41.48, 88.96
2018, 4, 9.96, 5.503, 64.47, 171.9
2018, 5, 13.56, 9.569, 94.85, 229.7
2018, 6, 21.82, 18.52, 95.04, 148
2018, 7, 19.17, 15.06, 25.21, 52.95
2018, 8, 19.07, 15.55, 12.75, 21.41
2018, 9, 15.8, 11.98, 90.77, 190
2018, 10, 9.92, 6.249, 34.37, 92.36
2018, 11, 6.964, 2.858, 165.3, 359
2018, 12, 4.679, 0.5282, 132.3, 294.1
2019, 1, 4.475, -0.1099, 162.8, 447
2019, 2, 6.3, 1.647, 168.6, 377.7
2019, 3, 8.032, 3.748, 150.8, 320.6
2019, 4, 9.343, 5.071, 72.95, 190.4
2019, 5, 13.34, 9.251, 122.8, 241.7
2019, 6, 15.97, 11.85, 47.51, 88.74
2019, 7, 19.29, 15.28, 11.49, 18.54
2019, 8, 21.37, 18.13, 0.7343, 0.3405
2019, 9, 17.48, 13.51, 93.25, 205.5
2019, 10, 13.18, 9.805, 39.06, 119.2
2019, 11, 6.572, 2.639, 58.71, 196
2019, 12, 3.353, -0.8051, 207.5, 379.1
2020, 1, 6.108, 1.877, 223.3, 526.7
2020, 2, 3.424, -0.8393, 36.3, 103.7
2020, 3, 9.362, 5.471, 76.79, 187.5
